name,age,position,club,market_value,profile_url,matches,goals,assists,yellow_cards,second_yellows,red_cards,minutes_played,goals_conceded,clean_sheets,competition_stats
Óscar Perea,Óscar Perea,Óscar PereaLeft Winger,Unknown club,€3.00m,https://www.transfermarkt.com/oscar-perea/profil/spieler/1015624,Left Winger,19,,,€3.00m,3,0,0,0,{}
Agustín Ruberto,Agustín Ruberto,Agustín RubertoCentre-Forward,Unknown club,€3.00m,https://www.transfermarkt.com/agustin-ruberto/profil/spieler/1000688,Centre-Forward,18,,,€3.00m,1,0,0,0,{}
Fidel Barajas,Fidel Barajas,Fidel BarajasRight Winger,Unknown club,€3.00m,https://www.transfermarkt.com/fidel-barajas/profil/spieler/994267,Right Winger,18,,,€3.00m,6,0,0,0,{}
Damián García,Damián García,Damián GarcíaDefensive Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/damian-garcia/profil/spieler/981056,Defensive Midfield,21,,,€3.00m,0,0,0,0,{}
Igor Jesus,Igor Jesus,Igor JesusDefensive Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/igor-jesus/profil/spieler/978037,Defensive Midfield,21,,,€3.00m,8,0,0,0,{}
Romain Esse,Romain Esse,Romain EsseAttacking Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/romain-esse/profil/spieler/967319,Attacking Midfield,19,,,€3.00m,21,4,0,1,{}
Matheus Gonçalves,Matheus Gonçalves,Matheus GonçalvesRight Winger,Unknown club,€3.00m,https://www.transfermarkt.com/matheus-goncalves/profil/spieler/961046,Right Winger,19,,,€3.00m,1,0,0,0,{}
Nestory Irankunda,Nestory Irankunda,Nestory IrankundaRight Winger,Unknown club,€3.00m,https://www.transfermarkt.com/nestory-irankunda/profil/spieler/956920,Right Winger,18,,,€3.00m,13,5,0,2,{}
Tidiam Gomis,Tidiam Gomis,Tidiam GomisLeft Winger,Unknown club,€3.00m,https://www.transfermarkt.com/tidiam-gomis/profil/spieler/955448,Left Winger,18,,,€3.00m,18,3,0,2,{}
Marin Soticek,Marin Soticek,Marin SoticekRight Winger,Unknown club,€3.00m,https://www.transfermarkt.com/marin-soticek/profil/spieler/945345,Right Winger,20,,,€3.00m,14,3,0,3,{}
Mikel Jauregizar,Mikel Jauregizar,Mikel JauregizarCentral Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/mikel-jauregizar/profil/spieler/938729,Central Midfield,21,,,€3.00m,12,1,0,0,{}
Gustavo Puerta,Gustavo Puerta,Gustavo PuertaCentral Midfield,Unknown club,€3.00m,https://www.transfermarkt.com/gustavo-puerta/profil/spieler/936981,Central Midfield,21,,,€3.00m,6,0,0,0,{}
